Podstawa;Dno;Kubek
1;43,1;90
2;43,5;89,94
3;43,7;89,87
4;43,8;89,81
5;43,9;89,75
6;44;89,62
7;44,1;89,56
8;44,2;89,5
9;44,3;89,37
10;44,5;89,31
11;44,6;89,25
12;44,7;89,19
13;44,9;89,12
14;45,1;89,06
15;45,3;89
16;45,4;88,94
17;45,6;88,87
18;45,8;88,81
19;45,9;88,75
20;46;88,69
21;46,1;88,62
22;46,4;88,56
23;46,5;88,5
24;46,6;88,44
25;46,7;88,37
26;46,8;88,31
27;46,9;88,25
28;47;88,19
29;47,1;88,12
30;47,2;88,06
31;47,4;88
32;47,5;87,94
33;47,7;87,87
34;47,9;87,81
35;48;87,75
36;48,1;87,69
37;48,3;87,62
38;48,4;87,56
39;48,5;87,5
40;48,6;87,44
41;48,7;87,37
42;48,8;87,31
43;48,9;87,25
44;49,2;87,19
45;49,5;87,12
46;49,7;87,06
47;49,7;87
48;49,9;86,94
49;49,9;86,87
50;50;86,81
51;50,1;86,75
52;50,4;86,69
53;50,4;86,62
54;50,6;86,5
55;50,7;86,44
56;50,8;86,37
57;50,8;86,31
58;50,9;86,25
59;51;86,19
60;51,9;86,37
61;52;86,31
62;52,1;86,25
63;52,2;86,19
64;52,3;86,12
65;52,3;86,06
66;52,5;86
67;52,6;85,94
68;52,8;85,87
69;52,8;85,81
70;52,9;85,75
71;53;85,69
72;53;85,62
73;53,2;85,56
74;53,3;85,5
75;53,4;85,44
76;53,5;85,37
77;53,6;85,31
78;53,7;85,25
79;53,7;85,19
80;53,8;85,12
81;53,9;85,06
82;54;85
83;54,1;84,94
84;54,2;84,87
85;54,3;84,81
86;54,4;84,75
87;54,5;84,69
88;54,5;84,62
89;54,5;84,56
90;54,6;84,5
91;54,7;84,44
92;54,8;84,37
93;54,9;84,31
94;54,9;84,25
95;55;84,19
96;55,1;84,12
97;55,2;84,06
98;55,2;84
99;55,2;83,94
100;55,3;83,87
101;55,4;83,81
102;55,5;83,75
103;55,5;83,69
104;55,6;83,62
105;55,6;83,56
106;55,7;83,5
107;55,8;83,44
108;55,8;83,37
109;55,9;83,31
110;56;83,25
111;56;83,19
112;56,1;83,12
113;56,1;83,06
114;56,1;83
115;56,2;82,94
116;56,2;82,87
117;56,3;82,81
118;56,4;82,75
119;56,5;82,69
120;56,5;82,62
121;56,5;82,56
122;56,6;82,5
123;56,6;82,44
124;56,6;82,37
125;56,6;82,31
126;56,7;82,25
127;56,8;82,19
128;56,8;82,12
129;56,8;82,06
130;56,9;82
131;56,9;81,94
132;56,9;81,87
133;56,9;81,81
134;57;81,75
135;57;81,69
136;57;81,62
137;57;81,56
138;57,1;81,5
139;57,1;81,44
140;57,1;81,37
141;57,2;81,31
142;57,2;81,25
143;57,2;81,19
144;57,3;81,19
145;57,4;81,12
146;57,4;81,06
147;57,4;81
148;57,4;80,94
149;57,4;80,87
150;57,4;80,81
151;57,5;80,75
152;57,5;80,69
153;57,5;80,62
154;57,5;80,56
155;57,5;80,5
156;57,5;80,44
157;57,6;80,37
158;57,6;80,31
159;57,6;80,25
160;57,6;80,19
161;57,6;80,12
162;57,7;80,06
163;57,7;80
164;57,7;79,94
165;57,7;79,87
166;57,7;79,81
167;57,8;79,75
168;57,8;79,69
169;57,8;79,62
170;57,8;79,56
171;57,8;79,5
172;57,8;79,44
173;57,8;79,37
174;57,8;79,31
175;57,8;79,25
176;57,9;79,19
177;57,9;79,12
178;57,9;79,06
179;57,9;79
180;57,9;78,94
181;57,9;78,87
182;57,9;78,81
183;57,9;78,75
184;57,9;78,69
185;57,9;78,62
186;58;78,56
187;58;78,5
188;58;78,44
189;58;78,37
190;58;78,31
191;58;78,25
192;58;78,19
193;58;78,12
194;58;78,06
195;58;78
196;58;77,94
197;58;77,87
198;57,9;77,81
199;57,9;77,75
200;57,9;77,69
201;57,9;77,62
202;57,9;77,56
203;57,9;77,5
204;57,9;77,44
205;57,9;77,37
206;57,9;77,31
207;57,9;77,25
208;57,9;77,19
209;57,8;77,12
210;57,9;77,06
211;57,8;77
212;57,8;76,94
213;57,8;76,87
214;57,8;76,81
215;57,8;76,75
216;57,8;76,69
217;57,8;76,62
218;57,8;76,56
219;57,8;76,5
220;57,8;76,44
221;57,8;76,37
222;57,8;76,31
223;57,8;76,25
224;57,8;76,19
225;57,8;76,12
226;57,7;76,06
227;57,7;76
228;57,7;75,94
229;57,7;75,87
230;57,7;75,87
231;57,7;75,81
232;57,7;75,75
233;57,6;75,69
234;57,6;75,62
235;57,6;75,56
236;57,6;75,5
237;57,6;75,44
238;57,6;75,37
239;57,6;75,31
240;57,6;75,25
241;57,6;75,19
242;57,5;75,12
243;57,5;75,06
244;57,5;75
245;57,5;74,94
246;57,5;74,87
247;57,4;74,81
248;57,4;74,75
249;57,4;74,69
250;57,4;74,62
251;57,4;74,56
252;57,3;74,5
253;57,3;74,44
254;57,3;74,37
255;57,2;74,31
256;57,2;74,25
257;57,2;74,19
258;57,2;74,12
259;57,1;74,06
260;57,1;74
261;57,1;73,94
262;57;73,94
263;57;73,87
264;56,9;73,81
265;56,9;73,75
266;56,9;73,69
267;56,9;73,62
268;56,9;73,56
269;56,8;73,5
270;56,8;73,44
271;56,8;73,37
272;56,8;73,31
273;56,7;73,25
274;56,7;73,19
275;56,7;73,12
276;56,7;73,06
277;56,5;73
278;56,5;72,94
279;56,5;72,87
280;56,5;72,81
281;56,4;72,75
282;56,4;72,69
283;56,4;72,62
284;56,3;72,56
285;56,3;72,5
286;56,3;72,44
287;56,2;72,37
288;56,2;72,31
289;56,2;72,25
290;56,2;72,19
291;56,1;72,12
292;56,1;72,06
293;56,1;72
294;56,1;71,94
295;56,1;71,87
296;56,1;71,81
297;56;71,75
298;56;71,69
299;56;71,62
300;55,9;71,56
301;55,9;71,5
302;55,9;71,44
303;55,8;71,37
304;55,7;71,31
305;55,7;71,25
306;55,7;71,19
307;55,7;71,12
308;55,6;71,06
309;55,6;71
310;55,5;70,94
311;55,5;70,87
312;55,5;70,81
313;55,5;70,75
314;55,4;70,69
315;55,4;70,62
316;55,3;70,56
317;55,3;70,5
318;55,3;70,44
319;55,2;70,37
320;55,2;70,31
321;55,2;70,25
322;55,2;70,19
323;55,1;70,12
324;55,1;70,12
325;55;70,06
326;55;70
327;55;69,94
328;55;69,87
329;55;69,81
330;54,9;69,75
331;54,9;69,69
332;54,9;69,62
333;54,9;69,56
334;54,9;69,5
335;54,8;69,44
336;54,8;69,37
337;54,8;69,31
338;54,7;69,25
339;54,6;69,19
340;54,6;69,12
341;54,6;69,06
342;54,5;69
343;54,5;68,94
344;54,5;68,87
345;54,4;68,81
346;54,4;68,75
347;54,3;68,69
348;54,2;68,62
349;54,2;68,56
350;54,2;68,5
351;54,1;68,44
352;54,1;68,37
353;54;68,31
354;54;68,25
355;54;68,19
356;53,9;68,12
357;53,8;68,06
358;53,8;68
359;53,7;67,94
360;53,7;67,87
361;53,6;67,81
362;53,5;67,75
363;53,5;67,69
364;53,5;67,62
365;53,4;67,56
366;53,4;67,5
367;53,4;67,44
368;53,4;67,37
369;53,3;67,31
370;53,3;67,25
371;53,3;67,19
372;53,3;67,12
373;53,3;67,06
374;53,2;67
375;53,2;66,94
376;53,1;66,87
377;53;66,81
378;53;66,75
379;53;66,69
380;52,9;66,62
381;52,9;66,56
382;52,9;66,5
383;52,8;66,44
384;52,8;66,37
385;52,7;66,31
386;52,7;66,25
387;52,7;66,19
388;52,6;66,12
389;52,6;66,06
390;52,5;66
391;52,5;65,94
392;52,5;65,87
393;52,4;65,81
394;52,4;65,75
395;52,4;65,69
396;52,4;65,62
397;52,3;65,56
398;52,2;65,5
399;52,2;65,44
400;52,1;65,37
401;52,1;65,31
402;52;65,25
403;52;65,19
404;52;65,12
405;51,9;65,06
406;51,8;65
407;51,7;65
408;51,7;64,94
409;51,7;64,87
410;51,6;64,81
411;51,6;64,75
412;51,6;64,69
413;51,5;64,62
414;51,4;64,56
415;51,3;64,5
416;51,3;64,5
417;51,3;64,44
418;51,2;64,37
419;51,2;64,31
