Kubek;Dno
76,56;33,3
76,5;33,8
76,44;34,1
76,37;34,3
76,31;34,5
76,25;34,7
76,19;34,9
76,12;35,1
76,06;35,2
76;35,3
75,94;35,6
75,87;35,7
75,81;35,8
75,75;36
75,69;36,1
75,62;36,2
75,56;36,3
75,5;36,4
75,44;36,5
75,37;36,7
75,31;36,7
75,25;36,9
75,19;37
75,12;37,2
75,06;37,2
75;37,4
74,94;37,4
74,87;37,6
74,81;37,7
74,75;37,8
74,69;37,9
74,62;38
74,56;38,1
74,5;38,2
74,44;38,3
74,37;38,4
78,5;39,2
78,19;39,3
77,87;39,3
78,87;40
78,81;40,1
78,75;40,3
78,69;40,5
78,62;40,6
78,56;40,8
78,5;40,8
78,44;40,9
78,37;41
78,31;41,1
78,25;41,2
78,19;41,2
78,12;41,3
78,06;41,4
78;41,5
77,94;41,6
77,87;41,7
77,81;41,7
77,75;41,8
77,69;41,8
77,62;41,9
77,56;42
77,5;42
77,44;42,1
77,37;42,1
77,31;42,2
77,25;42,3
77,19;42,3
77,12;42,4
77,06;42,4
77;42,4
76,94;42,5
76,87;42,5
76,81;42,6
76,75;42,6
76,69;42,7
76,62;42,7
76,56;42,8
76,5;42,9
76,44;43
76,37;43
76,31;43,1
76,25;43,2
76,19;43,2
76,12;43,3
76,06;43,4
76;43,4
75,94;43,5
75,87;43,5
75,81;43,5
75,75;43,6
75,69;43,6
75,62;43,7
75,56;43,7
75,5;43,7
75,44;43,8
75,37;43,9
75,31;43,9
75,25;43,9
75,19;44
75,12;44
75,06;44
75;44,1
74,94;44,2
74,87;44,2
74,81;44,2
74,75;44,3
74,69;44,3
74,62;44,3
74,56;44,4
74,5;44,4
74,44;44,4
74,37;44,5
74,31;44,5
74,25;44,6
74,19;44,6
74,12;44,6
74,06;44,7
74;44,7
73,94;44,7
73,87;44,8
73,81;44,8
73,75;44,8
73,69;44,8
73,62;44,9
73,56;44,9
73,5;44,9
73,44;45
73,37;45
73,31;45
73,25;45
73,19;45
73,12;45,1
73,06;45,1
73;45,1
72,94;45,2
72,87;45,2
72,81;45,2
72,75;45,3
72,69;45,3
72,62;45,3
