Kubek;Dno
92,31;51,0
92,25;51,2
92,19;51,5
92,12;51,7
92,06;51,9
91,94;52,1
91,87;52,3
91,81;52,5
91,75;52,7
91,69;53,0
91,62;53,1
91,56;53,3
91,44;53,5
91,31;53,7
91,25;53,9
91,06;54,1
91,00;54,3
90,87;54,5
90,81;54,7
90,75;54,8
90,62;55,0
90,56;55,2
90,50;55,4
90,44;55,6
90,37;55,9
90,31;56,0
90,25;56,2
90,19;56,4
90,12;56,5
90,06;56,7
90,00;56,8
89,94;57,0
89,87;57,2
89,81;57,3
89,75;57,4
89,69;57,6
89,62;57,8
89,56;57,9
89,50;58,0
89,37;58,2
89,31;58,3
89,25;58,4
89,19;58,6
89,12;58,7
89,06;58,8
89,00;59,0
88,94;59,1
88,87;59,2
88,81;59,3
88,69;59,5
88,62;59,6
88,56;59,7
88,44;59,8
88,37;59,9
88,31;60,0
88,25;60,1
88,12;60,3
88,06;60,4
88,00;60,5
87,94;60,6
87,87;60,7
87,81;60,8
87,75;60,9
87,69;61,0
87,62;61,1
87,56;61,2
87,50;61,3
87,44;61,4
87,37;61,5
87,31;61,6
87,25;61,6
87,12;61,7
87,06;61,8
87,00;61,9
86,94;62,0
86,87;62,1
86,75;62,2
86,69;62,2
86,62;62,3
86,56;62,4
86,44;62,5
86,37;62,6
86,31;62,6
86,25;62,7
86,19;62,8
86,12;62,8
86,06;62,9
86,00;63,0
85,94;63,1
85,87;63,2
85,81;63,2
85,75;63,3
85,69;63,4
85,62;63,4
85,56;63,5
85,50;63,5
85,44;63,6
85,37;63,6
85,31;63,7
85,25;63,8
85,19;63,8
85,12;63,8
85,06;63,9
85,00;64,0
84,94;64,0
84,87;64,1
84,75;64,1
84,69;64,1
84,62;64,2
84,56;64,2
84,44;64,3
84,37;64,3
84,31;64,4
84,25;64,4
84,19;64,5
84,12;64,5
84,06;64,5
84,00;64,6
83,94;64,6
83,87;64,7
83,81;64,7
83,75;64,7
83,69;64,8
83,62;64,8
83,56;64,8
83,50;64,9
83,44;64,9
83,37;64,9
83,31;64,9
83,25;65,0
83,19;65,0
83,12;65,0
83,06;65,1
83,00;65,1
82,94;65,1
82,87;65,1
82,81;65,1
82,75;65,2
82,69;65,2
82,62;65,2
82,50;65,2
82,44;65,3
82,37;65,3
82,31;65,3
82,25;65,3
82,19;65,4
82,12;65,4
82,06;65,4
82,00;65,4
81,94;65,5
81,87;65,5
81,81;65,5
81,75;65,5
81,69;65,5
81,62;65,6
81,56;65,6
81,50;65,6
81,44;65,6
81,37;65,6
81,31;65,6
81,25;65,6
81,12;65,7
81,06;65,7
81,00;65,7
80,94;65,7
80,87;65,7
80,81;65,7
80,75;65,7
80,69;65,7
80,62;65,7
80,56;65,8
80,50;65,8
80,44;65,8
80,37;65,8
80,31;65,8
80,25;65,8
80,19;65,8
80,12;65,8
80,06;65,8
80,00;65,8
79,94;65,8
79,87;65,8
79,81;65,8
79,75;65,8
79,69;65,8
79,62;65,8
79,56;65,8
79,50;65,8
79,44;65,8
79,37;65,8
79,31;65,8
79,25;65,8
79,19;65,8
79,12;65,8
79,06;65,8
79,00;65,8
78,94;65,8
78,87;65,8
78,81;65,7
78,75;65,7
78,69;65,7
78,62;65,7
78,56;65,7
78,50;65,7
78,44;65,7
78,37;65,7
78,31;65,7
78,25;65,7
78,19;65,7
78,12;65,7
78,06;65,7
78,00;65,6
77,94;65,6
77,87;65,6
77,81;65,6
77,75;65,6
77,69;65,6
77,62;65,6
77,56;65,6
77,50;65,6
77,44;65,5
77,37;65,5
77,31;65,5
77,25;65,5
77,19;65,5
77,12;65,5
77,06;65,4
77,00;65,4
76,94;65,4
76,87;65,4
76,81;65,4
76,75;65,4
76,69;65,3
76,62;65,3
76,56;65,3
76,50;65,2
76,44;65,2
76,37;65,2
76,31;65,2
76,25;65,2
76,19;65,2
76,12;65,2
76,06;65,1
76,00;65,1
75,94;65,1
75,87;65,1
75,81;65,0
75,75;65,0
75,69;65,0
75,62;65,0
75,56;64,9
75,50;64,9
75,44;64,9
75,37;64,8
75,31;64,8
75,25;64,8
75,19;64,8
75,12;64,8
75,06;64,7
75,00;64,7
74,94;64,6
74,87;64,6
74,81;64,6
74,75;64,6
74,69;64,5
74,62;64,5
74,56;64,5
74,50;64,4
74,44;64,4
74,37;64,4
74,31;64,3
74,25;64,3
74,19;64,3
74,12;64,3
74,06;64,2
74,00;64,2
73,94;64,2
73,87;64,1
73,81;64,1
73,75;64,1
73,69;64,1
73,62;64,0
73,56;64,0
73,50;64,0
73,44;64,0
73,37;63,9
73,31;63,9
73,25;63,9
73,19;63,8
73,12;63,8
73,06;63,8
73,00;63,8
72,94;63,7
72,87;63,7
72,81;63,7
72,75;63,6
72,69;63,6
72,62;63,6
72,56;63,6
72,50;63,5
72,44;63,5
72,37;63,5
72,31;63,4
72,25;63,4
72,19;63,4
72,12;63,3
72,06;63,3
72,00;63,3
71,94;63,2
71,87;63,1
71,81;63,1
71,75;63,0
71,69;63,0
71,62;62,9
71,56;62,9
71,50;62,8
71,44;62,8
71,37;62,7
71,31;62,7
71,25;62,6
71,19;62,6
71,12;62,6
71,06;62,5
71,00;62,5
70,94;62,5
70,87;62,4
70,81;62,4
70,75;62,3
70,69;62,3
70,62;62,3
70,56;62,2
70,50;62,2
70,44;62,2
70,37;62,1
70,31;62,1
70,25;62,1
70,19;62,0
70,12;62,0
70,06;62,0
70,00;61,9
69,94;61,9
69,87;61,9
69,81;61,8
69,75;61,8
69,69;61,8
69,62;61,7
69,56;61,7
69,50;61,6
69,44;61,6
69,37;61,5
69,31;61,4
69,25;61,4
69,19;61,3
69,12;61,3
69,06;61,2
69,00;61,2
68,94;61,2
68,87;61,1
68,81;61,1
68,75;61,1
68,69;61,0
68,62;61,0
68,56;60,9
68,50;60,8
68,44;60,8
68,37;60,8
68,31;60,7
68,25;60,7
68,19;60,6
68,12;60,6
68,06;60,5
68,00;60,5
67,94;60,5
67,87;60,4
67,81;60,4
67,75;60,3
67,69;60,3
67,62;60,3
67,56;60,2
67,50;60,2
67,44;60,2
67,37;60,1
67,31;60,1
67,25;60,0
67,19;60,0
67,12;59,9
67,06;59,9
67,00;59,8
66,94;59,7
66,87;59,7
66,81;59,6
66,75;59,6
66,69;59,5
66,62;59,5
66,56;59,4
66,50;59,4
66,44;59,3
66,37;59,3
66,31;59,2
66,25;59,2
66,19;59,1
66,12;59,1
66,06;59,0
66,00;59,0
65,94;59,0
65,87;58,9
65,81;58,9
65,75;58,8
65,69;58,7
65,62;58,7
65,56;58,6
65,50;58,6
65,44;58,5
65,37;58,5
65,31;58,4
65,25;58,4
65,19;58,4
65,12;58,3
65,06;58,3
65,00;58,2
64,94;58,2
64,87;58,1
64,81;58,1
64,75;58,0
64,69;57,9
64,62;57,8
64,56;57,8
64,50;57,8
64,44;57,7
64,37;57,7
64,31;57,6
64,25;57,6
64,19;57,6
64,12;57,6
64,06;57,5
64,00;57,5
63,94;57,4
63,88;57,3
63,81;57,3
63,75;57,2
63,69;57,1
63,63;57,1
63,56;57,0
63,50;57,0
63,44;56,9
63,38;56,9
63,31;56,9
63,25;56,8
63,19;56,8
63,13;56,7
63,06;56,7
63,00;56,6
62,94;56,5
62,88;56,4
62,81;56,4
62,75;56,3
62,69;56,3
62,63;56,2
62,56;56,2
62,50;56,1
62,44;56,1
62,38;56,0
62,31;56,0
62,25;55,9
62,19;55,9
62,13;55,8
62,06;55,8
62,00;55,8
61,94;55,7
61,88;55,7
61,81;55,7
61,75;55,6
61,69;55,6
61,63;55,5
61,56;55,4
61,50;55,4
61,44;55,3
61,38;55,3
61,31;55,2
61,31;55,2
61,25;55,1
61,19;55,1
61,13;55,0
61,06;54,9
61,00;54,8
60,94;54,8
60,88;54,7
60,81;54,7
60,75;54,6
60,69;54,5
60,63;54,5
60,56;54,5
60,50;54,4
60,44;54,4
60,38;54,3
60,31;54,3
60,25;54,2
60,19;54,2
60,13;54,1
60,06;54,1
60,00;54,0
59,94;53,9
59,88;53,9
59,81;53,8
59,75;53,7
59,69;53,7
59,63;53,7
59,56;53,6
59,50;53,6
59,44;53,5
59,38;53,5
59,31;53,5
59,25;53,4
59,19;53,4
59,13;53,3
59,06;53,3
59,00;53,3
58,94;53,2
58,88;53,1
58,81;53,1
58,75;53,0
58,69;53,0
58,63;52,9
58,56;52,9
58,50;52,8
58,44;52,7
58,38;52,6
58,31;52,6
58,25;52,5
58,19;52,5
58,13;52,4
58,06;52,4
58,00;52,4
57,94;52,3
57,88;52,3
57,81;52,2
57,75;52,2
57,69;52,1
57,63;52,1
57,56;52,0
57,50;52,0
57,44;51,9
57,38;51,8
57,31;51,8
57,25;51,7
57,19;51,6
57,13;51,6
57,06;51,6
57,00;51,5
56,94;51,5
56,88;51,4
56,81;51,4
56,75;51,3
56,69;51,2
56,63;51,2
56,56;51,1
56,50;51,1
56,44;51,0
56,38;51,0
56,31;50,9
56,25;50,9
56,19;50,8
56,13;50,8
56,06;50,7
56,00;50,6
55,94;50,6
55,88;50,6
55,81;50,5
55,75;50,5
55,69;50,4
55,63;50,4
55,56;50,4
55,50;50,3
55,44;50,3
55,38;50,2
55,31;50,1
55,25;50,1
55,19;50,1
55,13;50,0
55,06;50,0
55,00;49,9
54,94;49,9
54,88;49,8
54,81;49,7
54,75;49,6
54,69;49,6
54,63;49,5
54,56;49,5
54,50;49,5
54,44;49,4
54,38;49,4
54,31;49,3
54,25;49,2
54,19;49,2
54,13;49,1
54,06;49,1
54,00;49,0
53,94;49,0
53,88;48,9
53,81;48,9
53,75;48,8
53,69;48,8
53,63;48,7
53,56;48,7
53,50;48,6
53,44;48,5
53,38;48,5
53,31;48,5
53,25;48,4
53,19;48,3
53,13;48,3
53,06;48,2
53,00;48,2
52,94;48,2
52,88;48,1
52,81;48,1
52,75;48,0
52,69;48,0
52,63;48,0
52,56;47,9
52,56;47,9
52,50;47,8
52,44;47,8
52,38;47,7
52,31;47,6
52,25;47,6
52,19;47,6
52,13;47,5
52,06;47,5
52,00;47,4
51,94;47,4
51,88;47,4
51,81;47,3
51,75;47,3
51,69;47,3
51,63;47,2
51,56;47,2
51,50;47,2
51,44;47,1
51,38;47,1
51,31;47,1
51,25;47,1
51,19;47,0
51,13;47,0
51,06;47,0
51,00;46,9
50,94;46,8
50,88;46,8
50,81;46,8
50,81;46,7
50,75;46,7
50,69;46,7
50,69;46,6
50,63;46,6
50,56;46,5
50,50;46,5
50,44;46,4
50,38;46,4
50,31;46,3
50,25;46,2
50,25;46,1
50,19;46,1
50,13;46,0
50,13;46,0
50,06;46,0
50,00;46,0
49,94;45,9
49,88;45,9
49,81;45,9
49,75;45,9
49,69;45,8
49,63;45,8
49,56;45,6
49,50;45,6
49,44;45,5
49,38;45,5
49,31;45,4
49,25;45,4
49,19;45,3
49,13;45,3
49,06;45,3
49,00;45,3
48,94;45,2
48,88;45,2
48,81;45,1
48,75;45,0
48,69;44,9
48,63;44,8
48,56;44,8
48,50;44,8
48,44;44,7
48,38;44,6
48,31;44,6
48,25;44,5
48,19;44,5
48,13;44,5
48,06;44,4
48,00;44,4
47,94;44,3
47,88;44,3
47,81;44,3
47,75;44,2
47,69;44,1
47,69;44,1
47,63;44,1
47,56;44,0
47,50;44,0
47,44;44,0
47,38;43,8
47,31;43,7
47,25;43,7
47,19;43,6
47,13;43,6
47,06;43,5
47,00;43,4
46,94;43,4
46,88;43,4
46,81;43,3
46,75;43,2
46,69;43,2
46,63;43,1
46,56;43,1
46,50;43,1
46,44;43,0
46,38;43,0
46,31;42,9
46,25;42,8
46,19;42,7
46,13;42,7
46,06;42,6
46,00;42,6
45,94;42,6
45,88;42,5
45,81;42,5
45,75;42,5
45,69;42,4
45,63;42,4
45,56;42,3
45,50;42,3
45,44;42,2
45,38;42,1
45,31;42,1
45,25;42,1
45,19;42,0
45,13;41,9
45,13;41,9
45,06;41,8
45,00;41,7
44,94;41,7
44,88;41,6
44,81;41,6
44,75;41,5
44,69;41,5
44,63;41,4
44,56;41,4
44,50;41,4
44,44;41,3
44,38;41,2
44,31;41,2
44,25;41,1
44,19;41,1
44,13;41,0
44,06;41,0
44,00;41,0
43,94;40,9
43,88;40,9
43,81;40,8
43,75;40,8
43,69;40,7
43,63;40,7
43,56;40,6
43,50;40,6
43,44;40,5
43,38;40,4
43,38;40,4
43,31;40,4
43,25;40,3
43,19;40,3
43,13;40,2
43,06;40,1
43,00;40,1
42,94;40,0
42,88;40,0
42,88;40,0
42,81;40,0
42,75;39,9
42,69;39,8
42,63;39,8
42,56;39,7
42,50;39,7
42,44;39,6
42,38;39,6
42,31;39,5
42,25;39,5
42,19;39,4
42,19;39,4
42,13;39,3
42,06;39,3
42,00;39,2
41,94;39,1
41,88;39,1
41,81;39,1
41,75;39,0
41,69;39,0
41,63;38,9
41,56;38,9
41,50;38,8
41,44;38,8
41,38;38,7
41,31;38,6
41,25;38,6
41,19;38,6
41,13;38,5
41,13;38,5
41,06;38,5
41,00;38,4
40,94;38,3
40,88;38,3
40,81;38,2
40,75;38,2
40,69;38,1
40,63;38,1
40,56;38,1
40,56;38,1
40,50;38,0
40,44;38,0
40,38;38,0
40,31;37,9
40,25;37,9
40,19;37,8
40,19;37,8
40,19;37,8
40,19;37,7
40,13;37,6
40,06;37,5
40,00;37,5
39,94;37,5
39,88;37,4
39,81;37,3
39,75;37,3
39,69;37,3
39,63;37,2
39,56;37,2
39,50;37,1
39,44;37,1
39,38;37,0
39,31;37,0
39,25;37,0
39,19;36,9
39,13;36,9
39,06;36,8
39,06;36,8
39,00;36,7
38,94;36,7
38,88;36,6
38,81;36,6
38,81;36,5
38,75;36,5
38,69;36,4
38,63;36,4
38,56;36,4
38,50;36,4
38,44;36,3
38,38;36,2
38,31;36,1
38,25;36,1
38,19;36,1
38,13;36,0
38,06;35,9
38,00;35,9
37,94;35,8
37,94;35,8
37,88;35,7
37,81;35,7
37,75;35,6
37,69;35,6
37,63;35,6
37,56;35,5
37,50;35,4
37,44;35,4
37,44;35,4
37,38;35,3
37,31;35,3
37,25;35,3
37,19;35,2
37,19;35,0
37,19;35,0
37,13;35,0
37,06;34,9
37,00;34,9
36,94;34,9
36,94;34,9
36,88;34,8
36,81;34,8
36,75;34,7
36,69;34,6
36,63;34,6
36,56;34,5
36,50;34,4
36,50;34,4
36,44;34,4
36,38;34,3
36,31;34,3
36,25;34,2
36,19;34,2
36,13;34,1
36,06;34,1
36,00;34,0
35,94;34,0
35,88;33,9
35,81;33,9
35,75;33,8
35,69;33,8
35,63;33,8
35,56;33,7
35,50;33,6
35,44;33,5
35,38;33,5
35,31;33,4
35,31;33,4
35,25;33,4
35,19;33,3
35,13;33,3
35,13;33,3
35,06;33,3
35,00;33,2
34,94;33,2
34,94;33,2
34,88;33,1
34,81;33,0
34,75;33,0
34,69;32,9
34,63;32,9
34,63;32,9
34,56;32,8
34,50;32,7
34,50;32,7
34,44;32,7
34,38;32,7
34,31;32,6
34,31;32,6
34,25;32,5
34,19;32,5
34,19;32,5
34,13;32,4
34,06;32,4
34,00;32,4
33,94;32,3
33,88;32,2
33,81;32,2
33,75;32,1
33,75;32,1
33,69;32,1
33,63;32,0
33,56;32,0
33,50;31,9
33,44;31,8
33,38;31,8
33,31;31,8
33,31;31,8
33,25;31,7
33,25;31,7
33,19;31,6
33,13;31,6
33,06;31,5
33,00;31,5
32,94;31,4
32,88;31,4
32,81;31,3
32,75;31,3
32,69;31,2
32,69;31,2
32,63;31,2
32,63;31,2
32,56;31,1
32,50;31,1
32,44;31,0
32,38;30,9
32,31;30,9
32,25;30,8
32,19;30,8
32,13;30,7
32,06;30,7
32,00;30,7
32,00;30,7
31,94;30,6
31,94;30,6
31,87;30,5
31,81;30,5
31,75;30,5
31,69;30,4
31,69;30,4
31,62;30,3
31,62;30,3
31,56;30,3
31,50;30,2
31,50;30,2
31,44;30,2
31,37;30,1
31,31;30,0
31,25;30,0
31,25;30,0
31,19;29,9
31,12;29,8
31,06;29,8
31,00;29,8
30,94;29,7
30,94;29,7
30,87;29,7
30,81;29,6
30,75;29,6
30,75;29,5
30,69;29,5
30,69;29,5
30,69;29,5
30,62;29,4
30,62;29,4
30,56;29,4
30,50;29,3
30,44;29,3
30,44;29,3
30,37;29,2
30,37;29,2
30,31;29,2
30,25;29,1
30,19;29,0
30,19;29,0
30,12;29,0
30,06;28,9
30,06;28,9
30,00;28,9
29,94;28,8
29,94;28,8
29,87;28,8
29,87;28,8
29,87;28,8
29,81;28,7
29,75;28,6
29,69;28,6
29,69;28,6
29,62;28,6
29,56;28,5
29,56;28,5
29,50;28,5
29,50;28,5
29,44;28,4
29,44;28,4
29,37;28,4
29,31;28,3
29,25;28,3
29,19;28,2
29,12;28,2
29,12;28,2
29,12;28,1
29,06;28,1
29,00;28,0
28,94;28,0
28,94;28,0
28,87;27,9
28,81;27,9
28,75;27,8
28,75;27,8
28,75;27,8
28,69;27,8
28,62;27,7
28,62;27,7
28,56;27,7
28,50;27,6
28,50;27,6
28,44;27,6
28,44;27,6
28,44;27,5
28,37;27,5
28,31;27,5
28,31;27,4
28,25;27,4
28,19;27,4
28,12;27,3
28,06;27,3
28,06;27,3
28,00;27,2
27,94;27,1
27,87;27,1
27,81;27,0
27,81;27,0
27,81;27,0
27,75;27,0
27,69;26,9
27,62;26,9
27,56;26,8
27,50;26,8
27,44;26,7
27,44;26,7
27,37;26,6
27,37;26,6
27,37;26,6
27,37;26,6
2
