Dno;Kubek
45,6;85,44
45,8;85,37
46;85,31
46;85,25
46,2;85,19
46,3;85,12
46,3;85,06
46,4;85
46,5;84,94
46,6;84,87
46,7;84,81
46,7;84,75
46,8;84,69
46,9;84,62
46,9;84,56
47;84,5
47;84,44
47,1;84,37
47,1;84,31
47,2;84,25
47,2;84,19
47,3;84,12
47,4;84,06
47,4;84
47,4;83,94
47,5;83,87
47,5;83,81
47,5;83,75
47,6;83,69
47,6;83,62
47,6;83,56
47,7;83,5
47,7;83,44
47,8;83,37
47,8;83,31
47,9;83,25
47,9;83,19
47,9;83,12
48;83,06
48;83
48,1;82,94
48,1;82,87
48,1;82,81
48,2;82,75
48,2;82,69
48,2;82,62
48,3;82,56
48,3;82,5
48,4;82,44
48,4;82,37
48,4;82,31
48,5;82,25
48,5;82,19
48,5;82,12
48,6;82,06
48,6;82
48,6;81,94
48,7;81,87
48,7;81,81
48,7;81,75
48,8;81,69
48,8;81,62
48,8;81,56
48,8;81,5
48,9;81,44
48,9;81,37
48,9;81,31
49;81,25
49;81,19
49;81,12
49;81,06
49,1;81
49,1;80,94
49,1;80,87
49,1;80,81
49,1;80,75
49,2;80,69
49,2;80,62
49,2;80,56
49,2;80,5
49,2;80,44
49,3;80,37
49,3;80,31
49,3;80,25
49,3;80,19
49,3;80,12
49,3;80,06
49,4;80
49,4;79,94
49,4;79,87
49,4;79,81
49,4;79,75
49,5;79,69
49,5;79,62
49,5;79,56
49,5;79,5
49,5;79,44
49,5;79,37
49,6;79,31
49,6;79,25
49,6;79,19
49,6;79,12
49,6;79,06
49,6;79
49,7;78,94
49,7;78,87
49,7;78,81
49,7;78,75
49,7;78,69
49,7;78,62
49,7;78,56
49,8;78,5
49,8;78,44
49,8;78,37
49,8;78,31
49,8;78,25
49,8;78,19
49,8;78,12
49,8;78,06
49,8;78
49,9;77,94
49,9;77,87
49,9;77,81
49,9;77,75
49,9;77,69
49,9;77,62
49,9;77,56
49,9;77,5
49,9;77,44
49,9;77,37
49,9;77,31
50;77,25
50;77,19
50;77,12
50;77,06
50;77
50;76,94
50;76,87
50;76,81
50;76,75
50;76,69
50;76,62
50,1;76,56
50;76,5
50;76,44
50,1;76,37
50,1;76,31
50,1;76,25
50,1;76,19
50,1;76,12
50,1;76,06
50,1;76
50,1;75,94
50,1;75,87
50,1;75,81
50,1;75,75
50,1;75,69
50,1;75,62
50,1;75,56
50,1;75,5
50,1;75,44
50,1;75,37
50,1;75,31
