Kubek;Dno
76,81;24,5
76,87;25,0
76,87;25,1
76,81;25,3
76,75;25,6
76,69;25,7
76,62;25,9
76,56;26,0
76,50;26,1
76,44;26,1
76,37;26,2
76,31;26,4
76,25;26,7
76,19;26,8
76,12;26,9
76,06;27,0
76,00;27,1
75,94;27,3
75,87;27,3
75,81;27,4
75,75;27,6
75,69;27,7
75,62;27,8
75,56;27,9
75,50;28,1
75,44;28,1
75,37;28,3
75,31;28,3
75,25;28,6
75,19;28,7
75,12;28,8
75,06;29,1
75,00;29,1
74,94;29,2
74,87;29,3
74,81;29,5
74,75;29,5
74,69;29,7
74,62;29,9
74,56;29,9
74,50;30,2
74,44;30,2
74,37;30,4
74,31;30,7
74,25;30,7
74,19;30,8
74,12;31,0
74,06;31,1
74,00;31,3
73,94;31,4
78,81;32,5
78,75;32,6
78,69;32,7
78,62;32,7
78,56;32,8
78,50;32,9
78,44;32,9
78,37;33,0
78,31;33,0
78,25;33,0
78,19;33,1
78,12;33,2
78,06;33,2
78,00;33,3
77,94;33,3
77,87;33,4
77,81;33,4
77,75;33,5
77,69;33,5
77,62;33,5
77,56;33,6
77,50;33,6
77,44;33,6
77,37;33,7
77,31;33,7
77,25;33,8
77,19;33,8
77,12;33,9
77,06;33,9
77,00;34,0
76,94;34,0
76,87;34,1
76,81;34,1
76,75;34,2
76,69;34,3
76,62;34,4
76,56;34,4
76,50;34,5
76,44;34,5
76,37;34,6
76,31;34,6
76,25;34,7
76,19;34,7
76,12;34,8
76,06;34,8
76,00;34,9
75,94;34,9
75,87;35,0
75,81;35,1
75,75;35,1
75,69;35,2
75,62;35,3
75,56;35,4
75,50;35,5
75,44;35,5
75,37;35,6
75,31;35,6
75,25;35,7
75,19;35,7
75,12;35,8
75,06;35,8
75,00;35,8
74,94;35,9
74,87;36,1
74,81;36,1
74,75;36,2
74,69;36,2
74,62;36,3
74,56;36,3
74,50;36,4
74,44;36,4
74,37;36,5
74,31;36,6
74,25;36,7
74,19;36,7
74,12;36,8
74,06;36,9
74,00;36,9
73,94;37,0
73,87;37,0
73,81;37,1
73,75;37,2
73,69;37,3
73,62;37,3
73,56;37,4
73,50;37,4
73,44;37,5
73,37;37,5
73,31;37,6
73,25;37,6
73,19;37,7
73,12;37,7
73,06;37,8
73,00;37,8
72,94;37,9
72,87;37,9
72,81;38,0
72,75;38,0
72,69;38,1
72,62;38,1
72,56;38,1
72,50;38,2
72,44;38,2
72,37;38,3
72,31;38,3
72,25;38,3
72,19;38,3
72,12;38,4
72,06;38,4
72,00;38,4
71,94;38,4
71,87;38,5
71,81;38,5
71,75;38,5
71,69;38,5
71,62;38,5
71,56;38,6
71,50;38,6
71,44;38,7
71,37;38,7
71,31;38,7
71,25;38,8
71,19;38,8
71,12;38,9
71,06;38,9
71,00;38,9
70,94;39,0
70,87;39,0
70,81;39,1
70,75;39,1
70,69;39,2
70,62;39,2
70,56;39,2
70,50;39,3
70,44;39,3
70,37;39,4
70,31;39,4
70,25;39,4
70,19;39,4
70,12;39,4
70,06;39,5
70,00;39,5
69,94;39,5
69,87;39,6
69,81;39,6
69,75;39,6
69,69;39,7
69,62;39,7
69,56;39,7
69,50;39,7
69,44;39,7
69,37;39,8
69,31;39,8
69,25;39,8
69,19;39,8
69,12;39,9
69,06;39,9
69,00;40,0
68,94;40,0
68,87;40,0
68,81;40,0
68,75;40,0
68,69;40,1
68,62;40,1
68,56;40,1
68,50;40,1
68,44;40,2
68,37;40,2
68,31;40,2
68,25;40,2
68,19;40,3
68,12;40,3
68,06;40,3
68,00;40,3
67,94;40,3
67,87;40,4
67,81;40,4
67,75;40,4
67,69;40,4
67,62;40,4
67,56;40,4
67,50;40,5
67,44;40,5
67,37;40,5
67,31;40,5
67,25;40,5
67,19;40,5
67,12;40,5
67,06;40,6
67,00;40,6
66,94;40,6
66,87;40,6
66,81;40,6
66,75;40,6
66,69;40,6
66,62;40,7
66,56;40,7
66,50;40,7
66,44;40,7
66,37;40,7
66,31;40,7
66,25;40,7
66,19;40,7
66,12;40,8
66,06;40,8
66,00;40,8
65,94;40,8
65,87;40,8
65,81;40,8
65,75;40,8
65,69;40,8
65,62;40,8
65,56;40,9
65,50;40,9
65,44;40,9
65,37;40,9
65,31;40,9
65,25;40,9
65,19;40,9
65,12;40,9
65,06;40,9
65,00;40,9
64,94;41,0
64,87;41,0
64,81;41,0
64,75;41,0
64,69;41,0
64,62;41,0
64,56;41,0
64,50;41,0
64,44;41,0
64,37;41,0
64,31;41,0
64,25;41,0
64,19;41,0
64,12;41,0
64,06;41,0
